"Project Name","URL","ML libraries","Number of Contributors","Number of Stars"
"brightmart/bert_language_understanding","https://github.com/brightmart/bert_language_understanding.git","tensorflow","3","874"
"itdxer/neupy","https://github.com/itdxer/neupy.git","sklearn,tensorflow","6","617"
"luispedro/mahotas","https://github.com/luispedro/mahotas.git","sklearn","22","593"
"diux-dev/imagenet18","https://github.com/diux-dev/imagenet18.git","torch,tensorflow","3","833"
"tensorflow/transform","https://github.com/tensorflow/transform.git","tensorflow","22","801"
"azavea/raster-vision","https://github.com/azavea/raster-vision.git","sklearn,torch,keras,tensorflow","16","949"
"vanhuyz/CycleGAN-TensorFlow","https://github.com/vanhuyz/CycleGAN-TensorFlow.git","tensorflow","11","984"
"NVIDIA/OpenSeq2Seq","https://github.com/NVIDIA/OpenSeq2Seq.git","torch,tensorflow","34","1180"
"jonas-koehler/s2cnn","https://github.com/jonas-koehler/s2cnn.git","torch","9","696"
"huggingface/hmtl","https://github.com/huggingface/hmtl.git","torch","4","970"
"ottogroup/palladium","https://github.com/ottogroup/palladium.git","sklearn","9","468"
"NVlabs/GA3C","https://github.com/NVlabs/GA3C.git","tensorflow","3","547"
"VisualComputingInstitute/triplet-reid","https://github.com/VisualComputingInstitute/triplet-reid.git","sklearn,theano,tensorflow","5","632"
"HKUST-KnowComp/R-Net","https://github.com/HKUST-KnowComp/R-Net.git","tensorflow","3","564"
"bearpaw/pytorch-pose","https://github.com/bearpaw/pytorch-pose.git","torch","4","799"
"openai/mlsh","https://github.com/openai/mlsh.git","keras,tensorflow","3","515"
"palash1992/GEM","https://github.com/palash1992/GEM.git","sklearn,keras","8","907"
"EducationalTestingService/skll","https://github.com/EducationalTestingService/skll.git","sklearn","20","497"
"tableau/TabPy","https://github.com/tableau/TabPy.git","sklearn","23","801"
"bearpaw/pytorch-classification","https://github.com/bearpaw/pytorch-classification.git","torch","4","967"
"chris-chris/pysc2-examples","https://github.com/chris-chris/pysc2-examples.git","tensorflow","3","660"
"IndicoDataSolutions/Passage","https://github.com/IndicoDataSolutions/Passage.git","sklearn,theano","6","526"
"divamgupta/image-segmentation-keras","https://github.com/divamgupta/image-segmentation-keras.git","keras,tensorflow","7","1343"
"victordibia/handtracking","https://github.com/victordibia/handtracking.git","tensorflow","5","1165"
"iskandr/fancyimpute","https://github.com/iskandr/fancyimpute.git","sklearn,keras","9","789"
"pfnet/optuna","https://github.com/pfnet/optuna.git","sklearn,keras,tensorflow,torch","49","2137"
"attardi/deepnl","https://github.com/attardi/deepnl.git","sklearn","3","461"
"astroML/astroML","https://github.com/astroML/astroML.git","sklearn","25","611"
